context_id,sample_id,p_hat
1,1,0.7150000333786011
1,2,0.8090000152587891
1,3,0.6260000467300415
1,4,0.6890000104904175
1,5,0.706000030040741
1,6,0.6340000033378601
1,7,0.7020000219345093
1,8,0.6510000228881836
1,9,0.6990000605583191
1,10,0.7330000400543213
1,11,0.7390000224113464
1,12,0.6200000047683716
1,13,0.6720000505447388
1,14,0.6170000433921814
1,15,0.6860000491142273
1,16,0.7330000400543213
1,17,0.7160000205039978
1,18,0.6360000371932983
1,19,0.718000054359436
1,20,0.6840000152587891
1,21,0.7710000276565552
1,22,0.6230000257492065
1,23,0.6430000066757202
1,24,0.64000004529953
1,25,0.7110000252723694
1,26,0.7580000162124634
1,27,0.7220000624656677
1,28,0.6260000467300415
1,29,0.5460000038146973
1,30,0.7450000643730164
1,31,0.6220000386238098
1,32,0.7040000557899475
1,33,0.8100000619888306
1,34,0.7250000238418579
1,35,0.7020000219345093
1,36,0.6930000185966492
1,37,0.6960000395774841
1,38,0.6390000581741333
1,39,0.7870000600814819
1,40,0.7550000548362732
1,41,0.7310000061988831
1,42,0.7230000495910645
1,43,0.7450000643730164
1,44,0.7210000157356262
1,45,0.7690000534057617
1,46,0.7230000495910645
1,47,0.7070000171661377
1,48,0.6370000243186951
1,49,0.7330000400543213
1,50,0.6740000247955322
1,51,0.5700000524520874
1,52,0.737000048160553
1,53,0.6610000133514404
1,54,0.6210000514984131
1,55,0.734000027179718
1,56,0.7170000076293945
1,57,0.7570000290870667
1,58,0.6360000371932983
1,59,0.7130000591278076
1,60,0.6320000290870667
1,61,0.7160000205039978
1,62,0.7760000228881836
1,63,0.753000020980835
1,64,0.7040000557899475
1,65,0.6460000276565552
1,66,0.5850000381469727
1,67,0.6890000104904175
1,68,0.7870000600814819
1,69,0.6110000014305115
1,70,0.5600000023841858
1,71,0.7130000591278076
1,72,0.6470000147819519
1,73,0.7170000076293945
1,74,0.6760000586509705
1,75,0.7010000348091125
1,76,0.5710000395774841
1,77,0.6490000486373901
1,78,0.7930000424385071
1,79,0.6780000329017639
1,80,0.5560000538825989
1,81,0.531000018119812
1,82,0.7910000085830688
1,83,0.7540000081062317
1,84,0.7050000429153442
1,85,0.6620000600814819
1,86,0.7080000042915344
1,87,0.7290000319480896
1,88,0.6660000085830688
1,89,0.6350000500679016
1,90,0.7140000462532043
1,91,0.718000054359436
1,92,0.718000054359436
1,93,0.6260000467300415
1,94,0.7440000176429749
1,95,0.6680000424385071
1,96,0.7610000371932983
1,97,0.781000018119812
1,98,0.7310000061988831
1,99,0.6470000147819519
1,100,0.7230000495910645
1,101,0.784000039100647
1,102,0.5920000076293945
1,103,0.46800002455711365
1,104,0.7170000076293945
1,105,0.7500000596046448
1,106,0.6820000410079956
1,107,0.64000004529953
1,108,0.6390000581741333
1,109,0.7500000596046448
1,110,0.7760000228881836
1,111,0.7020000219345093
1,112,0.6410000324249268
1,113,0.7360000610351562
1,114,0.718000054359436
1,115,0.7000000476837158
1,116,0.5490000247955322
1,117,0.7660000324249268
1,118,0.7000000476837158
1,119,0.6790000200271606
1,120,0.7040000557899475
1,121,0.6720000505447388
1,122,0.4910000264644623
1,123,0.784000039100647
1,124,0.6580000519752502
1,125,0.6520000100135803
1,126,0.8130000233650208
1,127,0.7750000357627869
1,128,0.7360000610351562
1,129,0.6360000371932983
1,130,0.6430000066757202
1,131,0.6070000529289246
1,132,0.6210000514984131
1,133,0.7940000295639038
1,134,0.7670000195503235
1,135,0.7480000257492065
1,136,0.5760000348091125
1,137,0.6830000281333923
1,138,0.7470000386238098
1,139,0.6410000324249268
1,140,0.5480000376701355
1,141,0.612000048160553
1,142,0.7280000448226929
1,143,0.7590000629425049
1,144,0.6480000019073486
1,145,0.6970000267028809
1,146,0.7680000066757202
1,147,0.7000000476837158
1,148,0.6790000200271606
1,149,0.6820000410079956
1,150,0.675000011920929
1,151,0.7110000252723694
1,152,0.6310000419616699
1,153,0.7230000495910645
1,154,0.7640000581741333
1,155,0.6910000443458557
1,156,0.7860000133514404
1,157,0.7190000414848328
1,158,0.6000000238418579
1,159,0.7090000510215759
1,160,0.6920000314712524
1,161,0.6360000371932983
1,162,0.6640000343322754
1,163,0.8290000557899475
1,164,0.625
1,165,0.6710000038146973
1,166,0.7040000557899475
1,167,0.7550000548362732
1,168,0.7390000224113464
1,169,0.7430000305175781
1,170,0.6780000329017639
1,171,0.6610000133514404
1,172,0.6110000014305115
1,173,0.8140000104904175
1,174,0.7250000238418579
1,175,0.7040000557899475
1,176,0.656000018119812
1,177,0.690000057220459
1,178,0.597000002861023
1,179,0.8060000538825989
1,180,0.6850000619888306
1,181,0.7270000576972961
1,182,0.6640000343322754
1,183,0.7050000429153442
1,184,0.7220000624656677
1,185,0.6880000233650208
1,186,0.7390000224113464
1,187,0.6620000600814819
1,188,0.7710000276565552
1,189,0.6820000410079956
1,190,0.6720000505447388
1,191,0.7720000147819519
1,192,0.7070000171661377
1,193,0.6790000200271606
1,194,0.7570000290870667
1,195,0.7440000176429749
1,196,0.7470000386238098
1,197,0.7040000557899475
1,198,0.5790000557899475
1,199,0.6170000433921814
1,200,0.6740000247955322
2,1,0.9270000457763672
2,2,0.9220000505447388
2,3,0.9590000510215759
2,4,0.9410000443458557
2,5,0.9260000586509705
2,6,0.937000036239624
2,7,0.9610000252723694
2,8,0.9230000376701355
2,9,0.937000036239624
2,10,0.9540000557899475
2,11,0.9530000686645508
2,12,0.9030000567436218
2,13,0.8950000405311584
2,14,0.9080000519752502
2,15,0.906000018119812
2,16,0.9330000281333923
2,17,0.9410000443458557
2,18,0.9250000715255737
2,19,0.9360000491142273
2,20,0.9520000219345093
2,21,0.9270000457763672
2,22,0.9330000281333923
2,23,0.8390000462532043
2,24,0.9260000586509705
2,25,0.9450000524520874
2,26,0.9040000438690186
2,27,0.9360000491142273
2,28,0.8760000467300415
2,29,0.8660000562667847
2,30,0.9470000267028809
2,31,0.9360000491142273
2,32,0.9080000519752502
2,33,0.8610000610351562
2,34,0.9460000395774841
2,35,0.9450000524520874
2,36,0.9240000247955322
2,37,0.862000048160553
2,38,0.8710000514984131
2,39,0.9310000538825989
2,40,0.9310000538825989
2,41,0.9490000605583191
2,42,0.9240000247955322
2,43,0.8990000486373901
2,44,0.9100000262260437
2,45,0.956000030040741
2,46,0.9320000410079956
2,47,0.9530000686645508
2,48,0.9320000410079956
2,49,0.8770000338554382
2,50,0.8530000448226929
2,51,0.9190000295639038
2,52,0.9310000538825989
2,53,0.9040000438690186
2,54,0.9020000696182251
2,55,0.9200000166893005
2,56,0.9320000410079956
2,57,0.8740000128746033
2,58,0.8230000138282776
2,59,0.8100000619888306
2,60,0.9530000686645508
2,61,0.9120000600814819
2,62,0.9130000472068787
2,63,0.8520000576972961
2,64,0.8990000486373901
2,65,0.9310000538825989
2,66,0.859000027179718
2,67,0.8750000596046448
2,68,0.9280000329017639
2,69,0.9110000729560852
2,70,0.9330000281333923
2,71,0.8980000615119934
2,72,0.9440000653266907
2,73,0.8710000514984131
2,74,0.921000063419342
2,75,0.9150000214576721
2,76,0.9730000495910645
2,77,0.9410000443458557
2,78,0.9380000233650208
2,79,0.9000000357627869
2,80,0.9570000171661377
2,81,0.8670000433921814
2,82,0.8800000548362732
2,83,0.9570000171661377
2,84,0.9390000700950623
2,85,0.8530000448226929
2,86,0.9420000314712524
2,87,0.9460000395774841
