context_id,context_len,bayes_p_next_1,model_p_next_1
1,126,0.1320754716981132,0.13545005023479462
2,2815,0.005809731299927378,0.0075341626070439816
3,2454,0.1649616368286445,0.16568005084991455
4,281,0.5967741935483871,0.5424323678016663
5,3729,0.11607142857142858,0.12305276840925217
6,952,0.5656565656565656,0.5646920204162598
7,1092,0.5241090146750524,0.5300704836845398
8,807,0.45454545454545453,0.44452112913131714
9,1409,0.35777777777777775,0.40185099840164185
10,773,0.5410628019323671,0.5271393656730652
11,1466,0.19727891156462585,0.22622345387935638
12,3338,0.5348837209302325,0.5416766405105591
13,1884,0.9405666897028334,0.9540356993675232
14,3786,0.9526401741970604,0.9508777260780334
15,1876,0.559850374064838,0.562229573726654
16,1179,0.3498542274052478,0.32408568263053894
17,3244,0.16414686825053995,0.1672995239496231
18,3369,0.7016248153618907,0.7455698251724243
19,3539,0.9804928131416838,0.9786275029182434
20,3652,0.2694063926940639,0.21939913928508759
21,165,0.04054054054054054,0.05074338614940643
22,2132,0.3003565062388592,0.35476410388946533
23,1145,0.028985507246376812,0.0713203027844429
24,1051,0.5714285714285714,0.542405366897583
25,1036,0.7,0.733725368976593
26,3387,0.9799299139853457,0.9779802560806274
27,3257,0.2885572139303483,0.2380646914243698
28,925,0.9885931558935361,0.9869951605796814
29,1715,0.23447537473233404,0.23876303434371948
30,3053,0.8651911468812877,0.8586392402648926
31,661,0.6682692307692307,0.6806902289390564
32,2603,0.07304785894206549,0.05987309291958809
33,1832,0.8443396226415094,0.8433087468147278
34,3803,0.7214934409687185,0.7493214011192322
35,3044,0.38391224862888484,0.352373868227005
36,999,0.2834008097165992,0.3294433355331421
37,3430,0.8888888888888888,0.8915172219276428
38,3286,0.47079856972586415,0.42303720116615295
39,922,0.205761316872428,0.21509931981563568
40,2153,0.4936708860759494,0.4915120005607605
41,3266,0.40324032403240323,0.42779502272605896
42,997,0.7331081081081081,0.7048413753509521
43,1051,0.8493723849372385,0.8487263917922974
44,732,0.7781818181818182,0.7851495742797852
45,94,0.8,0.8178429007530212
46,2071,0.6287581699346405,0.6101011633872986
47,129,0.88,0.9003313779830933
48,2413,0.5228758169934641,0.49168339371681213
49,1740,0.9276315789473685,0.9324583411216736
50,807,0.9892086330935251,0.9751009345054626
51,1522,0.10645724258289703,0.13116459548473358
52,124,0.07407407407407407,0.07094629108905792
53,642,0.7878787878787878,0.7836862206459045
54,1963,0.3931203931203931,0.3953351378440857
55,375,0.1568627450980392,0.3686370551586151
56,3000,0.7608426270136307,0.7306326031684875
57,1099,0.34397163120567376,0.32388240098953247
58,3767,0.4166666666666667,0.28491854667663574
59,748,0.07982261640798226,0.08819905668497086
60,2586,0.19673348181143283,0.21997995674610138
61,2141,0.8951149425287356,0.8726738691329956
62,3761,0.02768549280177187,0.040664125233888626
63,2554,0.07441634241245136,0.06930605322122574
64,3550,0.8217905405405406,0.8396647572517395
65,1935,0.9645542427497314,0.979655385017395
66,943,0.25280898876404495,0.2739871144294739
67,827,0.11363636363636363,0.13043099641799927
68,3556,0.8114713216957606,0.8101329207420349
69,883,0.453125,0.5277383327484131
70,3010,0.0406891495601173,0.043654099106788635
71,2190,0.09346642468239565,0.11001969873905182
72,1184,0.9548693586698337,0.9675118327140808
73,1719,0.28600405679513186,0.30212679505348206
