context_id,context_length,true_p,context_ones,model_p_next_1,bayes_p_next_1
1,66,0.5605711936950684,39,0.5885784029960632,0.5882352941176471
2,255,0.8244031667709351,208,0.8034794330596924,0.8132295719844358
3,149,0.11768299341201782,19,0.12737244367599487,0.13245033112582782
4,73,0.5369474291801453,36,0.4906781017780304,0.49333333333333335
5,114,0.020897865295410156,2,0.040495675057172775,0.02586206896551724
6,25,0.4932185411453247,11,0.44112443923950195,0.4444444444444444
7,29,0.8669089674949646,26,0.885897159576416,0.8709677419354839
8,194,0.1359136700630188,27,0.14018431305885315,0.14285714285714285
9,77,0.47794270515441895,35,0.45431703329086304,0.45569620253164556
10,197,0.5101985931396484,102,0.5132689476013184,0.5175879396984925
11,160,0.028872549533843994,4,0.04389060661196709,0.030864197530864196
12,232,0.7317382097244263,163,0.7024340629577637,0.7008547008547008
13,22,0.18893957138061523,12,0.5433322787284851,0.5416666666666666
14,137,0.35439980030059814,52,0.3878844082355499,0.381294964028777
15,158,0.08349162340164185,14,0.08833351731300354,0.09375
16,24,0.16108494997024536,1,0.052844200283288956,0.07692307692307693
17,97,0.03233838081359863,4,0.05258927494287491,0.050505050505050504
18,165,0.7334573268890381,115,0.6961925029754639,0.6946107784431138
19,107,0.22651249170303345,20,0.1870238482952118,0.1926605504587156
20,85,0.9130665063858032,74,0.8577814102172852,0.8620689655172413
21,114,0.9164069294929504,106,0.9223169088363647,0.9224137931034483
22,160,0.2442922592163086,34,0.22395320236682892,0.21604938271604937
23,197,0.30434221029281616,52,0.27960482239723206,0.2663316582914573
24,83,0.3270447254180908,36,0.4355104863643646,0.43529411764705883
25,201,0.36674702167510986,78,0.39531853795051575,0.3891625615763547
26,97,0.3882690668106079,42,0.4339102804660797,0.43434343434343436
27,235,0.17086946964263916,41,0.18042932450771332,0.17721518987341772
28,203,0.012408614158630371,1,0.035564035177230835,0.00975609756097561
29,47,0.5315065979957581,19,0.40948161482810974,0.40816326530612246
30,156,0.9174016714096069,142,0.9010670185089111,0.9050632911392406
31,58,0.22805237770080566,12,0.2097119241952896,0.21666666666666667
32,66,0.6359958052635193,51,0.764678418636322,0.7647058823529411
33,121,0.03929281234741211,4,0.04797991365194321,0.04065040650406504
34,189,0.5768393278121948,114,0.6015199422836304,0.6020942408376964
35,117,0.9344576597213745,109,0.9242026805877686,0.9243697478991597
36,219,0.115958571434021,21,0.09508877992630005,0.09954751131221719
37,61,0.5485967993736267,32,0.5219024419784546,0.5238095238095238
38,148,0.4146461486816406,63,0.428339421749115,0.4266666666666667
39,72,0.030166268348693848,2,0.045250292867422104,0.04054054054054054
40,48,0.386066198348999,12,0.2650013267993927,0.26
41,86,0.10975563526153564,10,0.1154247596859932,0.125
42,75,0.4937933683395386,39,0.5154792070388794,0.5194805194805194
43,142,0.6653635501861572,91,0.6408228278160095,0.6388888888888888
44,53,0.682785153388977,37,0.6972707509994507,0.6909090909090909
45,46,0.6344460844993591,22,0.4763999283313751,0.4791666666666667
46,96,0.18783366680145264,21,0.23096033930778503,0.22448979591836735
47,207,0.45655733346939087,81,0.3981550633907318,0.3923444976076555
48,162,0.15354037284851074,27,0.17143504321575165,0.17073170731707318
49,151,0.7954126000404358,127,0.8301528096199036,0.8366013071895425
50,99,0.9048362970352173,95,0.9501853585243225,0.9504950495049505
51,82,0.2999814748764038,25,0.3202085793018341,0.30952380952380953
52,54,0.2008708119392395,13,0.24766075611114502,0.25
53,36,0.38455599546432495,13,0.37165355682373047,0.3684210526315789
54,103,0.7459276914596558,76,0.7337074875831604,0.7333333333333333
55,165,0.648489773273468,111,0.6728598475456238,0.6706586826347305
56,115,0.8889522552490234,103,0.8849051594734192,0.8888888888888888
57,61,0.27906906604766846,21,0.3566305339336395,0.3492063492063492
58,118,0.9540404081344604,111,0.9333921670913696,0.9333333333333333
59,232,0.9614273309707642,223,0.9514131546020508,0.9572649572649573
60,122,0.31673169136047363,43,0.363970011472702,0.3548387096774194
61,103,0.9493873715400696,100,0.9579377174377441,0.9619047619047619
62,19,0.43494653701782227,6,0.326034814119339,0.3333333333333333
63,104,0.30831634998321533,35,0.3496505320072174,0.33962264150943394
64,116,0.5035219192504883,50,0.43215373158454895,0.4322033898305085
65,46,0.3427741527557373,11,0.253364235162735,0.25
66,78,0.010809123516082764,0,0.03390205278992653,0.0125
